Instance,SBM,SA,TN16,D-Wave
1,-12770.0,-12726.0,-12722.0,-12772.0
2,-12717.0,-12667.0,-12585.0,-12703.0
3,-12738.0,-12702.0,-12678.0,-12728.0
4,-12678.0,-12628.0,-12524.0,-12666.0
5,-12832.0,-12772.0,-12774.0,-12826.0
6,-12628.0,-12578.0,-12460.0,-12618.0
7,-12744.0,-12702.0,-12680.0,-12742.0
8,-12713.0,-12661.0,-12647.0,-12707.0
9,-12782.0,-12746.0,-12742.0,-12784.0
10,-12789.0,-12743.0,-12663.0,-12785.0
11,-12915.0,-12867.0,-12817.0,-12905.0
12,-12742.0,-12692.0,-12644.0,-12730.0
13,-12750.0,-12718.0,-12748.0,-12744.0
14,-12739.0,-12671.0,-12649.0,-12705.0
15,-12899.0,-12837.0,-12855.0,-12853.0
16,-12770.0,-12706.0,-12722.0,-12756.0
17,-12793.0,-12749.0,-12763.0,-12793.0
18,-12800.0,-12748.0,-12674.0,-12794.0
19,-12770.0,-12726.0,-12724.0,-12760.0
20,-12744.0,-12694.0,-12672.0,-12722.0
