Instance,TN,TN20,SBM,SA,TN16,D-Wave
1,-469.0,-469.0,-469.0,-469.0,-469.0,-469.0
2,-492.0,-492.0,-492.0,-492.0,-492.0,-492.0
3,-460.0,-454.0,-460.0,-460.0,-460.0,-460.0
4,-495.0,-495.0,-495.0,-495.0,-495.0,-495.0
5,-471.0,-471.0,-471.0,-471.0,-471.0,-471.0
6,-460.0,-456.0,-460.0,-460.0,-460.0,-460.0
7,-486.0,-484.0,-486.0,-486.0,-486.0,-486.0
8,-490.0,-486.0,-490.0,-490.0,-490.0,-490.0
9,-477.0,-467.0,-477.0,-477.0,-475.0,-477.0
10,-478.0,-474.0,-478.0,-478.0,-478.0,-478.0
11,-474.0,-474.0,-474.0,-474.0,-474.0,-474.0
12,-485.0,-485.0,-485.0,-485.0,-485.0,-485.0
13,-485.0,-485.0,-485.0,-485.0,-485.0,-485.0
14,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0
15,-465.0,-465.0,-465.0,-465.0,-465.0,-465.0
16,-460.0,-460.0,-460.0,-460.0,-460.0,-460.0
17,-468.0,-468.0,-468.0,-468.0,-468.0,-468.0
18,-473.0,-473.0,-473.0,-473.0,-473.0,-473.0
19,-468.0,-468.0,-468.0,-468.0,-468.0,-468.0
20,-476.0,-476.0,-476.0,-476.0,-476.0,-476.0
