Instance,TN,TN20,SBM,SA,TN16,D-Wave
1,-319.1353062353392,-319.1353062353392,-319.13403,-319.1353062353395,-319.1353062353392,-319.13530623533927
2,-319.853412901792,-319.853412901792,-319.84674,-319.853412901792,-319.853412901792,-319.85341290179207
3,-316.3886519077695,-316.3886519077695,-316.38696,-316.3886519077696,-316.3886519077695,-316.38865190776954
4,-321.79993852982284,-321.7999385298229,-321.8054,-321.7999385298226,-321.7999385298229,-321.799938529823
5,-312.72989179155,-312.72989179155,-312.7329,-312.7298917915499,-312.72989179155,-312.72989179155
6,-327.5763797179067,-327.5763797179067,-327.57727,-327.57637971790655,-326.94946235677907,-327.57637971790666
7,-324.84802370237765,-324.84802370237765,-324.85046,-324.8480237023773,-324.84802370237765,-324.8480237023774
8,-301.7765288918498,-301.7765288918498,-301.77917,-301.7765288918499,-301.7765288918498,-301.7765288918497
9,-312.7614300539957,-312.7614300539957,-312.75687,-312.761430053996,-312.7614300539957,-312.7614300539957
10,-315.07772015584527,-315.07772015584527,-315.08044,-315.077720155845,-314.5820628348704,-315.07772015584504
11,-309.2586378129053,-309.25863781290536,-309.25916,-309.25863781290514,-308.5032069527188,-309.2586378129052
12,-304.4507502254268,-304.4507502254268,-304.45184,-304.4507502254265,-304.4507502254268,-304.4507502254268
13,-314.4278802909791,-314.4278802909791,-314.43048,-314.4278802909791,-314.4278802909791,-314.42788029097903
14,-311.1986940311705,-311.1986940311705,-311.1931,-311.19869403117013,-311.1986940311705,-311.1986940311704
15,-319.63930291155214,-319.63930291155214,-319.6347,-319.6393029115523,-319.63930291155214,-319.6393029115521
16,-317.50491743412675,-317.50491743412675,-317.50055,-317.50491743412726,-317.50491743412675,-317.5049174341267
17,-313.32865068236697,-313.32865068236697,-313.33026,-313.32865068236697,-313.32865068236697,-313.32865068236674
18,-302.8887567449762,-302.8887567449762,-302.88446,-302.8887567449762,-302.8887567449762,-302.8887567449763
19,-319.84633612997595,-319.84633612997595,-319.84976,-319.8463361299757,-319.84633612997595,-319.84633612997584
20,-319.4159166069225,-319.4159166069225,-319.41742,-319.415916606922,-319.4159166069225,-319.41591660692256
