Instance,TN,TN20,SBM,SA,TN16,D-Wave
1,-310.49684341796984,-310.2502659192324,-310.49786,-310.4968434179702,-310.2502659192324,-310.49684341797
2,-305.7560992113265,-305.7560992113265,-305.75488,-305.7560992113267,-305.59015815770283,-305.75609921132644
3,-317.22833559467125,-317.22833559467125,-317.22485,-317.2283355946713,-317.22833559467125,-317.22833559467114
4,-310.06190596016893,-310.06190596016893,-310.058,-310.06190596016864,-309.7527516582678,-310.0619059601692
5,-309.5701966392555,-309.5701966392555,-309.57202,-309.5701966392556,-307.51752533714205,-309.57019663925576
6,-306.78929178231385,-306.78929178231385,-306.7947,-306.7892917823143,-306.78929178231385,-306.78929178231374
7,-307.0202788837209,-307.0202788837209,-307.0204,-307.0202788837209,-307.02027888372095,-307.0202788837208
8,-320.35718643066866,-320.35718643066866,-320.36508,-320.35718643066855,-320.24802489153905,-320.3571864306687
9,-313.798673763482,-313.798673763482,-313.7978,-313.798673763482,-313.7986737634819,-313.79867376348204
10,-295.4031466749248,-295.4266428279706,-295.4292,-295.4266428279706,-294.5570446593915,-295.4266428279706
11,-315.94453100562976,-315.94453100562976,-315.945,-315.9445310056299,-315.94453100562976,-315.94453100562964
12,-320.9252182937553,-320.9252182937553,-320.92108,-320.9252182937555,-320.9252182937553,-320.9252182937552
13,-316.4922962742737,-316.4922962742737,-315.2083,-316.4922962742733,-316.4922962742737,-316.49229627427366
14,-318.2563044667723,-318.2563044667723,-318.25372,-318.2563044667723,-318.2563044667723,-318.25630446677224
15,-304.7797545978466,-304.7797545978466,-304.77985,-304.7797545978466,-304.5566435836563,-304.7797545978465
16,-316.24338838698355,-316.24338838698355,-316.2487,-316.2433883869838,-316.24338838698355,-316.2433883869836
17,-317.49716342211264,-317.49716342211264,-317.4936,-317.4971634221124,-317.49716342211264,-317.4971634221128
18,-312.0234310458893,-312.0234310458893,-312.026,-312.0234310458892,-311.85845680535976,-312.02343104588925
19,-318.4319996833511,-318.4319996833511,-318.4376,-318.4319996833505,-317.5626927821132,-318.43199968335097
20,-317.3277497602544,-317.3277497602544,-317.32916,-317.32774976025405,-315.7050932869837,-317.3277497602544
