Instance,TN20,SBM,SA,TN16,D-Wave
1,-2724.0,-2752.0,-2750.0,-2744.0,-2750.0
2,-2708.0,-2766.0,-2764.0,-2758.0,-2762.0
3,-2689.0,-2715.0,-2715.0,-2715.0,-2715.0
4,-2711.0,-2745.0,-2741.0,-2741.0,-2743.0
5,-2657.0,-2751.0,-2749.0,-2741.0,-2751.0
6,-2712.0,-2770.0,-2770.0,-2760.0,-2766.0
7,-2707.0,-2745.0,-2743.0,-2743.0,-2745.0
8,-2737.0,-2741.0,-2739.0,-2737.0,-2739.0
9,-2737.0,-2777.0,-2777.0,-2763.0,-2777.0
10,-2717.0,-2719.0,-2719.0,-2703.0,-2719.0
11,-2731.0,-2751.0,-2745.0,-2745.0,-2747.0
12,-2678.0,-2728.0,-2728.0,-2718.0,-2726.0
13,-2669.0,-2677.0,-2675.0,-2667.0,-2675.0
14,-2717.0,-2723.0,-2721.0,-2719.0,-2723.0
15,-2691.0,-2707.0,-2705.0,-2653.0,-2703.0
16,-2736.0,-2754.0,-2754.0,-2750.0,-2754.0
17,-2679.0,-2685.0,-2679.0,-2683.0,-2683.0
18,-2718.0,-2736.0,-2736.0,-2734.0,-2736.0
19,-2668.0,-2730.0,-2724.0,-2724.0,-2728.0
20,-2753.0,-2793.0,-2791.0,-2789.0,-2791.0
