instance_type;N;instance_number;annealing_time;sdev;tvd;fidelity;dwave_dist;sim_dist;dwave_gr_state_prob;sim_gr_state_prob
rich;k_4;26;5;0.01;0.14385097876309477;0.9510094963882453;[0.17836999893188477, 0.001230000052601099, 0.11776000261306763, 9.999999747378752e-6, 0.04715999960899353, 0.14441999793052673, 0.0002300000051036477, 1.9999999494757503e-5, 9.999999747378752e-6, 0.00041000000783242285, 0.12481000274419785, 0.04481000080704689, 9.999999747378752e-6, 0.15265999734401703, 0.0017099999822676182, 0.18637999892234802];[0.24166987310375174, 1.893548238034144e-5, 0.14301953419143598, 1.084967831929475e-5, 0.0071518791526351, 0.10812113016999111, 1.2937787306232817e-6, 6.5044427558672145e-6, 6.504442755866112e-6, 1.2937787306233018e-6, 0.10812113016999131, 0.007151879152635078, 1.0849678319294301e-5, 0.14301953419143584, 1.8935482380341117e-5, 0.24166987310375157];[0.17836999893188477, 0.18637999892234802];[0.24166987310375174, 0.24166987310375157]
rich;k_4;31;5;0.01;0.1838779052531952;0.9051596653006805;[1.9999999494757503e-5, 0.011380000039935112, 0.020059999078512192, 0.0004799999878741801, 5.999999848427251e-5, 0.21231000125408173, 0.19583000242710114, 0.04303999990224838, 0.06092999875545502, 0.25148001313209534, 0.1667799949645996, 4.999999873689376e-5, 0.0008699999889358878, 0.026990000158548355, 0.009689999744296074, 2.9999999242136255e-5];[5.373128631052159e-6, 3.533269564330809e-5, 0.0011343443211829546, 3.858677365906632e-6, 8.720835836219393e-6, 0.17768847069804017, 0.3101397201820666, 0.01098417946123579, 0.010984179461235746, 0.3101397201820651, 0.17768847069804034, 8.720835836219074e-6, 3.858677365907576e-6, 0.0011343443211829572, 3.533269564330824e-5, 5.373128631051798e-6];[0.19583000242710114, 0.25148001313209534];[0.3101397201820666, 0.3101397201820651]
rich;k_4;8;5;0.01;0.1958067396240674;0.9163200169005856;[0.0, 0.0005499999970197678, 0.0129399998113513, 0.1842000037431717, 0.02725999988615513, 0.08495000004768372, 0.18871000409126282, 0.00015999999595806003, 7.000000186963007e-5, 0.17385999858379364, 0.13304999470710754, 0.05998000130057335, 0.12495999783277512, 0.008709999732673168, 0.0006000000284984708, 0.0];[1.5962695080143036e-8, 1.4203099213377581e-5, 0.00010307438606233711, 0.16070695865200307, 0.004870473223666204, 0.07295497504627052, 0.2613148748372802, 3.542479280958297e-5, 3.542479280958347e-5, 0.2613148748372788, 0.07295497504627052, 0.004870473223666232, 0.16070695865200252, 0.00010307438606233733, 1.4203099213380153e-5, 1.5962695080120334e-8];[0.18871000409126282, 0.17385999858379364];[0.2613148748372802, 0.2613148748372788]
rich;k_4;38;5;0.01;0.07212827315591902;0.9876048744776268;[0.13741999864578247, 0.001560000004246831, 4.999999873689376e-5, 7.000000186963007e-5, 0.002580000087618828, 0.17660999298095703, 9.999999747378752e-6, 0.23117999732494354, 0.15826000273227692, 1.9999999494757503e-5, 0.14810000360012054, 0.0023300000466406345, 9.999999747378752e-6, 4.999999873689376e-5, 0.0010400000028312206, 0.1407099962234497];[0.12147470216387016, 1.874346100699665e-5, 1.3623010625222533e-6, 5.424104404215499e-6, 1.1415386954695425e-5, 0.17341838328920753, 6.891798501412404e-8, 0.205069900375508, 0.20506990037550876, 6.891798501405997e-8, 0.173418383289207, 1.1415386954695776e-5, 5.424104404215169e-6, 1.3623010625218493e-6, 1.8743461006996395e-5, 0.12147470216387089];[0.17660999298095703, 0.14810000360012054];[0.17341838328920753, 0.173418383289207]
rich;k_4;25;5;0.01;0.1614037873182593;0.9072917180822493;[7.999999797903001e-5, 0.05415999889373779, 0.2015099972486496, 0.2033199965953827, 2.9999999242136255e-5, 0.007069999817758799, 0.00033999999868683517, 7.999999797903001e-5, 7.000000186963007e-5, 0.00023999999393709004, 0.004110000096261501, 1.9999999494757503e-5, 0.2540999948978424, 0.2418999969959259, 0.032930001616477966, 3.9999998989515007e-5];[2.176846860291337e-6, 0.0007150945917425487, 0.3024068942438645, 0.19683532897637623, 8.066863624675591e-7, 1.1393752869038748e-6, 2.97428028732342e-5, 8.816476635409775e-6, 8.816476635410732e-6, 2.974280287323708e-5, 1.1393752869038839e-6, 8.066863624672509e-7, 0.19683532897637576, 0.3024068942438641, 0.0007150945917425511, 2.1768468602910035e-6];[0.2418999969959259, 0.2015099972486496];[0.3024068942438641, 0.3024068942438645]
rich;k_4;17;5;0.01;0.12475295254231822;0.9399218658707769;[0.0019600000232458115, 0.007799999788403511, 0.0, 0.005659999791532755, 0.22565999627113342, 0.008290000259876251, 0.0006900000153109431, 0.18292999267578125, 0.25527000427246094, 0.00107999995816499, 0.013039999641478062, 0.28047001361846924, 0.006149999797344208, 0.0, 0.009170000441372395, 0.001829999964684248];[3.7825455988166264e-6, 7.582733332861748e-5, 3.716537469740081e-8, 2.0031386286070027e-5, 0.31399463589315457, 6.959691643946991e-5, 1.2483028803799678e-5, 0.18582360573101406, 0.18582360573101267, 1.2483028803798548e-5, 6.959691643946905e-5, 0.3139946358931544, 2.0031386286066866e-5, 3.716537469747683e-8, 7.582733332861409e-5, 3.7825455988153105e-6];[0.22565999627113342, 0.28047001361846924];[0.31399463589315457, 0.3139946358931544]
rich;k_4;39;5;0.01;0.16184008193805982;0.9078843391743369;[0.004879999905824661, 7.999999797903001e-5, 0.22806000709533691, 0.0013200000394135714, 0.13102999329566956, 0.0427200011909008, 0.10706999897956848, 0.017500000074505806, 0.01889999955892563, 0.11614999920129776, 0.04295999929308891, 0.13344000279903412, 0.000590000010561198, 0.15268999338150024, 1.9999999494757503e-5, 0.002589999930933118];[1.4258703884800565e-5, 1.9405674183936734e-7, 0.2711315323988148, 6.735539867876749e-6, 0.13135701353591975, 0.005183627429284698, 0.09209060535106797, 0.00021603298441869248, 0.0002160329844186957, 0.09209060535106786, 0.005183627429284705, 0.13135701353591991, 6.735539867877153e-6, 0.2711315323988155, 1.9405674183917416e-7, 1.4258703884799154e-5];[0.15268999338150024, 0.22806000709533691];[0.2711315323988155, 0.2711315323988148]
rich;k_4;10;5;0.01;0.1732581701180955;0.913508206593527;[0.006200000178068876, 7.000000186963007e-5, 0.15951000154018402, 0.08310999721288681, 0.22346000373363495, 0.005150000099092722, 0.013460000045597553, 0.00749000022187829, 0.005080000031739473, 0.013020000420510769, 0.0026599999982863665, 0.21390999853610992, 0.06335999816656113, 0.19742999970912933, 3.9999998989515007e-5, 0.006049999967217445];[1.7910179425416873e-5, 1.0880368044274582e-7, 0.17818259555471364, 0.025661467915214932, 0.29597778922121604, 7.506345079880552e-6, 0.00013631067707779924, 1.631130359178747e-5, 1.6311303591787767e-5, 0.0001363106770777986, 7.506345079879674e-6, 0.295977789221217, 0.02566146791521495, 0.17818259555471413, 1.0880368044268598e-7, 1.7910179425415958e-5];[0.22346000373363495, 0.21390999853610992];[0.29597778922121604, 0.295977789221217]
rich;k_4;20;5;0.01;0.160793334671853;0.9037775307818217;[0.0002300000051036477, 0.06536000221967697, 9.999999747378752e-6, 0.0016199999954551458, 0.0022799998987466097, 0.22363999485969543, 0.005080000031739473, 0.1847900003194809, 0.19075000286102295, 0.004900000058114529, 0.22293999791145325, 0.002409999957308173, 0.0022799998987466097, 1.9999999494757503e-5, 0.09335000067949295, 0.00033999999868683517];[6.41882803835953e-6, 0.008517515601541067, 1.9146776521892233e-7, 1.9839825177395556e-7, 7.570320115887313e-6, 0.24490893209248416, 1.143974602680435e-5, 0.24654773354577827, 0.24654773354577728, 1.143974602680409e-5, 0.24490893209248402, 7.570320115887603e-6, 1.983982517741381e-7, 1.9146776521888705e-7, 0.008517515601541126, 6.418828038361575e-6];[0.1847900003194809, 0.19075000286102295];[0.24654773354577827, 0.24654773354577728]
rich;k_4;4;5;0.01;0.13620271422235125;0.9150825962970127;[0.2208700031042099, 0.014460000209510326, 0.005779999773949385, 0.0, 0.01307000033557415, 0.23896999657154083, 0.01360000018030405, 0.0029299999587237835, 0.0036200000904500484, 0.009859999641776085, 0.2609100043773651, 0.007689999882131815, 0.0, 0.005100000184029341, 0.02112000063061714, 0.18201999366283417];[0.1812654290003537, 0.00040711831861285614, 5.9401737266865515e-5, 8.969592855288837e-8, 0.00014473319187094863, 0.31804126823894624, 5.471272762627892e-5, 2.724708939506389e-5, 2.724708939506582e-5, 5.4712727626282306e-5, 0.3180412682389458, 0.00014473319187095375, 8.969592855289554e-8, 5.940173726686666e-5, 0.0004071183186128445, 0.18126542900035322];[0.23896999657154083, 0.2609100043773651];[0.31804126823894624, 0.3180412682389458]
rich;k_4;36;5;0.01;0.15005127733171897;0.8986518923024558;[0.0, 0.17653000354766846, 9.999999747378752e-5, 0.0001500000071246177, 0.0004199999966658652, 0.04699999839067459, 0.2939299941062927, 0.020919999107718468, 0.016189999878406525, 0.19175000488758087, 0.02638000063598156, 0.00015999999595806003, 0.0005200000014156103, 3.9999998989515007e-5, 0.2258799970149994, 2.9999999242136255e-5];[2.6458524314885076e-7, 0.1860122029805563, 4.5806130061166625e-6, 2.749631309782669e-5, 3.597429962202535e-6, 0.0007023950390876593, 0.31312440676218367, 0.00012505627686403974, 0.00012505627686403622, 0.31312440676218284, 0.0007023950390876633, 3.5974299622029403e-6, 2.7496313097827306e-5, 4.5806130061159594e-6, 0.18601220298055718, 2.6458524314880984e-7];[0.2939299941062927, 0.19175000488758087];[0.31312440676218367, 0.31312440676218284]
rich;k_4;7;5;0.01;0.17554277671767446;0.9230334512604431;[0.00046999999904073775, 0.22745999693870544, 0.19021999835968018, 0.06592000275850296, 0.000539999979082495, 0.039069999009370804, 0.005950000137090683, 0.00044999999227002263, 0.00039000000106170774, 0.0034199999645352364, 0.02751000039279461, 0.00026000000070780516, 0.06955999881029129, 0.14751000702381134, 0.2210800051689148, 0.0001900000061141327];[1.7179884406783507e-6, 0.3003072034323959, 0.17097837471332625, 0.02637381874009901, 7.299255464596225e-7, 0.002329488621608026, 7.384262960431357e-6, 1.282315622278228e-6, 1.282315622278584e-6, 7.38426296043175e-6, 0.0023294886216080326, 7.299255464593013e-7, 0.02637381874009907, 0.17097837471332566, 0.3003072034323963, 1.717988440678001e-6];[0.2210800051689148, 0.22745999693870544];[0.3003072034323963, 0.3003072034323959]
rich;k_4;34;5;0.01;0.1677030276474338;0.946013051460856;[0.0004299999854993075, 0.1339299976825714, 0.12481000274419785, 0.1139800027012825, 0.0, 0.008290000259876251, 0.00022000000171829015, 0.13033999502658844, 0.19926999509334564, 0.0001500000071246177, 0.012269999831914902, 0.0, 0.08995000272989273, 0.07720000296831131, 0.10898000001907349, 0.00018000000272877514];[1.8157101717434662e-5, 0.12467587707513461, 0.07072060597255679, 0.06368196705901051, 6.395725754166784e-8, 6.359396466273617e-5, 3.122823479604496e-5, 0.24080850663486522, 0.24080850663486403, 3.12282347960492e-5, 6.359396466273095e-5, 6.395725754158859e-8, 0.06368196705901022, 0.07072060597255683, 0.12467587707513425, 1.8157101717433554e-5];[0.13033999502658844, 0.19926999509334564];[0.24080850663486522, 0.24080850663486403]
rich;k_4;6;5;0.01;0.2056721065693515;0.8998132366870586;[0.017149999737739563, 0.03660000115633011, 0.2211800068616867, 9.999999747378752e-6, 0.0, 0.02589000016450882, 0.1408900022506714, 0.11853999644517899, 0.13652999699115753, 0.06996999680995941, 0.0210999995470047, 0.0, 7.999999797903001e-5, 0.16527000069618225, 0.03946999832987785, 0.007319999858736992];[0.00045080811838943354, 0.005582144905760603, 0.2884515047123435, 1.642918601976268e-5, 5.533682340563551e-8, 0.001776499066290648, 0.07305318281003077, 0.13066937586434244, 0.1306693758643421, 0.07305318281003086, 0.0017764990662906548, 5.533682340565732e-8, 1.6429186019763837e-5, 0.28845150471234243, 0.005582144905760626, 0.0004508081183894458];[0.16527000069618225, 0.2211800068616867];[0.28845150471234243, 0.2884515047123435]
rich;k_4;3;5;0.01;0.19985240735346227;0.9232496908056348;[0.0002699999895412475, 0.001069999998435378, 0.22210000455379486, 0.10447999835014343, 0.0, 0.04597000032663345, 1.9999999494757503e-5, 0.16749000549316406, 0.1311900019645691, 0.0, 0.06945999711751938, 0.0, 0.09421999752521515, 0.16078999638557434, 0.0024300001095980406, 0.0005099999834783375];[1.2501182294046446e-5, 1.5784913237064343e-5, 0.2786915099270249, 0.05523785222509313, 5.953086683896402e-8, 0.009493457546807003, 2.0435767854555157e-5, 0.1565283989068236, 0.1565283989068229, 2.0435767854554723e-5, 0.009493457546807037, 5.9530866839053105e-8, 0.05523785222509301, 0.27869150992702457, 1.578491323706498e-5, 1.2501182294048113e-5];[0.16078999638557434, 0.22210000455379486];[0.27869150992702457, 0.2786915099270249]
rich;k_4;2;5;0.01;0.13786908790500849;0.9433294745059981;[4.999999873689376e-5, 0.0015699999639764428, 0.022350000217556953, 0.0011899999808520079, 0.0, 0.2321700006723404, 0.003719999920576811, 0.24503999948501587, 0.2280000001192093, 0.004000000189989805, 0.241799995303154, 0.0, 0.0010000000474974513, 0.01768999919295311, 0.00139999995008111, 1.9999999494757503e-5];[1.4389883421979201e-5, 8.504088458096959e-6, 0.00017583713066983734, 3.6842373659602933e-6, 6.929801366870755e-8, 0.19433015427940442, 1.2885386421163821e-5, 0.30545447569624384, 0.3054544756962439, 1.2885386421164982e-5, 0.19433015427940414, 6.929801366866322e-8, 3.6842373659598896e-6, 0.00017583713066983322, 8.50408845809705e-6, 1.4389883421979476e-5];[0.24503999948501587, 0.2280000001192093];[0.30545447569624384, 0.3054544756962439]
rich;k_4;21;5;0.01;0.20533891879629207;0.9028531652313604;[9.999999747378752e-6, 0.16344000399112701, 0.015159999951720238, 0.013450000435113907, 0.10137999802827835, 0.16606999933719635, 0.04301000013947487, 0.0, 0.0, 0.027380000799894333, 0.1592099964618683, 0.12670999765396118, 0.006539999973028898, 0.011660000309348106, 0.1659799963235855, 0.0];[3.494942631371149e-5, 0.20050016158019401, 0.00030727369316414083, 0.0001607401207462519, 0.06675227174197929, 0.22948866542146748, 0.0027552553402883746, 6.826758468741918e-7, 6.826758468742735e-7, 0.0027552553402883434, 0.22948866542146862, 0.06675227174197959, 0.00016074012074624567, 0.00030727369316413373, 0.20050016158019385, 3.4949426313712136e-5];[0.1659799963235855, 0.16344000399112701];[0.20050016158019385, 0.20050016158019401]
rich;k_4;24;5;0.01;0.18780110064089361;0.9102169127766659;[0.0218299999833107, 0.10242000222206116, 0.0014100000262260437, 0.003710000077262521, 9.000000136438757e-5, 0.14680999517440796, 0.00011999999696854502, 0.20517000555992126, 0.18513000011444092, 9.999999747378752e-5, 0.21708999574184418, 5.999999848427251e-5, 0.002309999894350767, 0.0005699999746866524, 0.10068999975919724, 0.012489999644458294];[0.00017906149189163606, 0.03017398862287908, 3.6148561698779522e-6, 8.835554758168527e-6, 1.9962166308736213e-6, 0.21434487356713203, 4.515270887017332e-6, 0.25528311441965207, 0.25528311441965007, 4.515270887018932e-6, 0.2143448735671321, 1.99621663087405e-6, 8.835554758169287e-6, 3.6148561698780378e-6, 0.030173988622878952, 0.0001790614918916395];[0.20517000555992126, 0.18513000011444092];[0.25528311441965207, 0.25528311441965007]
rich;k_4;32;5;0.01;0.2254389213453547;0.882924499951676;[0.005570000037550926, 0.052650000900030136, 0.15415999293327332, 0.059220001101493835, 0.0010600000387057662, 9.999999747378752e-6, 0.2039799988269806, 9.999999747378752e-6, 2.9999999242136255e-5, 0.18636000156402588, 0.0, 0.0009599999757483602, 0.05889999866485596, 0.21164999902248383, 0.058389998972415924, 0.0070500001311302185];[7.735224548650647e-7, 0.006877274135546926, 0.19499620399659345, 0.010636026777820837, 4.004711026302827e-6, 2.0131808461369302e-7, 0.28746699773251544, 1.851780595829198e-5, 1.8517805958291546e-5, 0.28746699773251394, 2.0131808461366408e-7, 4.0047110263025525e-6, 0.010636026777820733, 0.19499620399659306, 0.006877274135546862, 7.735224548653197e-7];[0.2039799988269806, 0.18636000156402588];[0.28746699773251544, 0.28746699773251394]
rich;k_4;1;5;0.01;0.23022880837664947;0.8951762552035244;[5.999999848427251e-5, 0.08104000240564346, 0.22709999978542328, 0.06807000190019608, 0.1646299958229065, 0.04535000026226044, 0.004879999905824661, 0.0, 0.0, 0.0032099999953061342, 0.028699999675154686, 0.14104999601840973, 0.03017999976873398, 0.15547999739646912, 0.050209999084472656, 3.9999998989515007e-5];[3.421795612679946e-5, 0.02334251835765639, 0.27518402135715864, 0.011941993964131627, 0.18406035618767366, 0.005408377882208365, 2.8491144517174685e-5, 2.3150528544046772e-8, 2.3150528544036426e-8, 2.8491144517173285e-5, 0.005408377882208364, 0.18406035618767427, 0.011941993964131663, 0.27518402135715864, 0.023342518357656328, 3.421795612679839e-5];[0.15547999739646912, 0.22709999978542328];[0.27518402135715864, 0.27518402135715864]
rich;k_4;19;5;0.01;0.11310171097350591;0.950197566534323;[0.0010499999625608325, 0.13551999628543854, 0.006029999814927578, 0.16479000449180603, 0.013890000060200691, 0.0003499999875202775, 0.16068999469280243, 0.001069999998435378, 0.0014100000262260437, 0.13642999529838562, 0.000590000010561198, 0.012590000405907631, 0.19829000532627106, 0.004860000219196081, 0.16165000200271606, 0.0007900000200606883];[7.627508416788126e-7, 0.19019854546860654, 5.64361168471737e-7, 0.19466462351474545, 6.0710586766560124e-5, 8.564033596932586e-8, 0.11507384938886799, 8.582886674195283e-7, 8.582886674200444e-7, 0.11507384938886801, 8.564033596940056e-8, 6.071058676655463e-5, 0.1946646235147454, 5.643611684715106e-7, 0.19019854546860648, 7.627508416790497e-7];[0.19829000532627106, 0.16479000449180603];[0.1946646235147454, 0.19466462351474545]
rich;k_4;5;5;0.01;0.1892828602450585;0.9299543376676331;[2.9999999242136255e-5, 0.08494000136852264, 4.999999873689376e-5, 0.001610000035725534, 1.9999999494757503e-5, 0.0008099999977275729, 0.1710599958896637, 0.20145000517368317, 0.21216000616550446, 0.21626000106334686, 0.0007300000288523734, 1.9999999494757503e-5, 0.0017000000225380063, 3.9999998989515007e-5, 0.10904999822378159, 7.000000186963007e-5];[2.4915136774516745e-6, 0.024458850063491713, 4.383413605708659e-6, 1.0313516779135007e-5, 1.2603153598398542e-7, 2.2629304891372714e-5, 0.1770495488217154, 0.2984516573343044, 0.2984516573343041, 0.17704954882171509, 2.2629304891371945e-5, 1.2603153598395093e-7, 1.0313516779135153e-5, 4.383413605708901e-6, 0.02445885006349175, 2.4915136774515738e-6];[0.20145000517368317, 0.21216000616550446];[0.2984516573343044, 0.2984516573343041]
rich;k_4;40;5;0.01;0.14811304220812593;0.9164666466106338;[0.033440001308918, 0.22199000418186188, 0.1877100020647049, 0.001449999981559813, 0.00039999998989515007, 0.03714999929070473, 0.0005799999926239252, 9.000000136438757e-5, 5.999999848427251e-5, 0.0003000000142492354, 0.022110000252723694, 7.999999797903001e-5, 0.002050000010058284, 0.22688999772071838, 0.2363699972629547, 0.029330000281333923];[0.0018443307889738417, 0.2976851298893299, 0.19881278476392222, 1.8741372627444182e-5, 3.6369568158040546e-7, 0.0016384693889388482, 9.155206316546364e-8, 8.854846481133862e-8, 8.85484648112587e-8, 9.155206316539484e-8, 0.001638469388938876, 3.636956815803302e-7, 1.8741372627444684e-5, 0.1988127847639222, 0.29768512988933, 0.0018443307889738554];[0.2363699972629547, 0.22199000418186188];[0.29768512988933, 0.2976851298893299]
rich;k_4;35;5;0.01;0.09461557697975392;0.9806884866290262;[0.0018599999602884054, 0.11384999752044678, 0.00022000000171829015, 9.999999747378752e-6, 1.9999999494757503e-5, 0.1258399933576584, 0.10621999949216843, 0.1314300000667572, 0.11948999762535095, 0.13038000464439392, 0.1755799949169159, 9.999999747378752e-5, 0.0, 0.00014000000373926014, 0.09258999675512314, 0.0022700000554323196];[1.881319708178464e-5, 0.06665933194948685, 7.508999869683025e-6, 1.6650405953980568e-7, 9.073487832925383e-6, 0.1884402978077644, 0.11636446084667718, 0.1285003472072278, 0.1285003472072277, 0.11636446084667697, 0.1884402978077644, 9.073487832926003e-6, 1.6650405953979027e-7, 7.508999869683402e-6, 0.06665933194948698, 1.8813197081786676e-5];[0.1258399933576584, 0.1755799949169159];[0.1884402978077644, 0.1884402978077644]
rich;k_4;12;5;0.01;0.12346096920229423;0.9283053751014835;[0.12613999843597412, 0.00011999999696854502, 0.13840000331401825, 0.13592000305652618, 0.0004400000034365803, 9.999999747378752e-6, 0.030050000175833702, 0.01295000035315752, 0.018120000138878822, 0.039080001413822174, 0.0, 0.00041000000783242285, 0.16298000514507294, 0.20851999521255493, 0.00018000000272877514, 0.12668000161647797];[0.11688364083091504, 2.42844302046876e-5, 0.20067154665561687, 0.18004468602018742, 6.533165884458511e-6, 5.7585404370896205e-8, 0.00206010642232511, 0.000309144889462623, 0.00030914488946262017, 0.002060106422325124, 5.7585404370820085e-8, 6.533165884458381e-6, 0.1800446860201879, 0.20067154665561593, 2.4284430204684e-5, 0.11688364083091454];[0.16298000514507294, 0.13592000305652618];[0.1800446860201879, 0.18004468602018742]
rich;k_4;9;5;0.01;0.17641890970663152;0.8857178694685938;[0.009580000303685665, 9.999999747378752e-6, 0.009189999662339687, 0.0044999998062849045, 0.08078999817371368, 0.20487000048160553, 4.999999873689376e-5, 0.21915000677108765, 0.18613000214099884, 7.000000186963007e-5, 0.19633999466896057, 0.06751000136137009, 0.004040000028908253, 0.00795000046491623, 0.0, 0.009820000268518925];[0.00010792909655144593, 9.812166653450394e-8, 2.583844889391989e-5, 2.6244908095304175e-5, 0.00837356346120261, 0.20936595095869087, 1.1919172967332654e-5, 0.2820884558319322, 0.2820884558319313, 1.1919172967332789e-5, 0.20936595095869118, 0.00837356346120264, 2.6244908095304046e-5, 2.583844889391879e-5, 9.812166653439825e-8, 0.00010792909655144727];[0.21915000677108765, 0.18613000214099884];[0.2820884558319322, 0.2820884558319313]
rich;k_4;27;5;0.01;0.20017813584223798;0.9220652426599382;[0.15884000062942505, 0.1247899979352951, 0.060270000249147415, 0.028470000252127647, 0.0005099999834783375, 0.0968099981546402, 0.0, 0.00023999999393709004, 0.0003800000122282654, 1.9999999494757503e-5, 0.08967000246047974, 0.0002500000118743628, 0.0524200014770031, 0.07332000136375427, 0.1751299947500229, 0.13887999951839447];[0.2277509814755183, 0.16718607798925636, 0.02291856057847811, 0.0053565160775399506, 6.834869872125981e-6, 0.07677409879810028, 9.458940793097644e-8, 6.835621826406145e-6, 6.835621826406094e-6, 9.458940793108197e-8, 0.07677409879810049, 6.834869872125376e-6, 0.005356516077539965, 0.022918560578478023, 0.16718607798925553, 0.22775098147551717];[0.15884000062942505, 0.13887999951839447];[0.2277509814755183, 0.22775098147551717]
rich;k_4;33;5;0.01;0.21176594398043638;0.8922690038816845;[0.0020600000862032175, 0.22889000177383423, 0.028880000114440918, 0.009259999729692936, 0.017249999567866325, 5.999999848427251e-5, 0.3000999987125397, 9.999999747378752e-6, 0.0, 0.17384999990463257, 7.999999797903001e-5, 0.014770000241696835, 0.006909999996423721, 0.017330000177025795, 0.1988999992609024, 0.0016499999910593033];[1.2352540926266075e-5, 0.31408639687843504, 0.0004188087114501789, 6.871543579355121e-5, 0.00016927470172525954, 1.1300344998388378e-5, 0.1852331211929248, 3.019374822237713e-8, 3.01937482223447e-8, 0.18523312119292454, 1.1300344998389639e-5, 0.00016927470172526353, 6.871543579354884e-5, 0.00041880871145017753, 0.3140863968784351, 1.2352540926267387e-5];[0.1988999992609024, 0.22889000177383423];[0.3140863968784351, 0.31408639687843504]
rich;k_4;22;5;0.01;0.19598420921086582;0.9175154372423452;[0.016440000385046005, 0.2386700063943863, 0.240229994058609, 7.999999797903001e-5, 0.0004199999966658652, 0.049240000545978546, 0.012199999764561653, 5.999999848427251e-5, 4.999999873689376e-5, 0.010250000283122063, 0.06255000084638596, 0.0003800000122282654, 7.000000186963007e-5, 0.13628000020980835, 0.22181999683380127, 0.011260000057518482];[0.00012793851886787894, 0.3102994812528759, 0.17215525045051808, 5.1572252570833565e-6, 3.5390459361839807e-6, 0.01732062786140995, 8.247386118869212e-5, 5.531783946188335e-6, 5.531783946186024e-6, 8.247386118868975e-5, 0.0173206278614099, 3.5390459361821744e-6, 5.157225257084312e-6, 0.17215525045051921, 0.3102994812528768, 0.00012793851886787577];[0.22181999683380127, 0.2386700063943863];[0.3102994812528768, 0.3102994812528759]
rich;k_4;28;5;0.01;0.20506013713941423;0.8984270836384642;[7.000000186963007e-5, 0.11358000338077545, 3.9999998989515007e-5, 0.011649999767541885, 0.004220000002533197, 0.14969000220298767, 0.03183000162243843, 0.20146000385284424, 0.1465499997138977, 0.0279300007969141, 0.19460000097751617, 0.006409999914467335, 0.005940000060945749, 9.999999747378752e-6, 0.10599000006914139, 2.9999999242136255e-5];[1.386895337126596e-5, 0.04997427468922955, 2.0777031785924207e-6, 4.133265570239834e-5, 5.081875603245345e-6, 0.2364120312538546, 0.0012832952700481959, 0.2122680375990127, 0.21226803759901228, 0.0012832952700482015, 0.23641203125385488, 5.081875603245826e-6, 4.133265570239711e-5, 2.077703178592307e-6, 0.0499742746892295, 1.3868953371265681e-5];[0.20146000385284424, 0.1465499997138977];[0.2122680375990127, 0.21226803759901228]
